net,length_um
_01530_,7733.29
_02645_,7711.385
_01323_,7580.35
_02427_,7340.97
_02685_,7229.12
_03209_,7222.39
_03139_,7219.09
_02591_,7169.74
_01316_,7076.175
_01156_,7063.23
_04377_,7032.18
_01307_,7029.11
_01556_,6989.095
_01807_,6939.31
_01142_,6908.75
_01134_,6896.53
_03020_,6881.17
_02563_,6878.81
_01830_,6729.81
_02433_,6711.27
_02639_,6696.915
_03157_,6681.94
_01790_,6666.225
_03318_,6660.61
_01831_,6594.13
_04366_,6583.32
_01209_,6583.06
_02421_,6542.145
_01321_,6540.815
_03234_,6483.8
_02576_,6482.295
_02843_,6463.07
_03189_,6461.39
_03175_,6456.41
_01246_,6449.02
_02063_,6443.19
_03404_,6436.67
_02937_,6427.19
_03169_,6409.42
_02612_,6385.96
_02641_,6378.67
_02614_,6358.45
_03136_,6350.18
_03467_,6334.89
_03354_,6330.08
_03067_,6314.9
_03466_,6276.14
_01794_,6245.32
_01192_,6243.06
_03159_,6233.89
_03379_,6214.18
_02604_,6206.68
_04341_,6198.94
_02723_,6189.18
_02618_,6183.12
_02671_,6174.06
_01836_,6163.78
_01289_,6152.85
_01971_,6128.74
_04402_,6110.53
_01799_,6089.4
_01475_,6086.48
_02552_,6084.9
_01798_,6078.08
_02244_,6043.35
_02948_,6041.14
_02306_,6038.4
_02419_,6034.32
_03185_,6027.26
_01135_,6024.43
_01560_,6024.42
_03526_,6023.44
_01585_,6003.16
_01803_,5993.18
_02593_,5991.28
_02402_,5968.48
_01577_,5946.89
_03031_,5944.56
_03130_,5937.83
_01144_,5926.4
_03149_,5911.92
_03082_,5872
_02391_,5867.185
_02396_,5824.11
_02707_,5811.35
_01149_,5801.3
_01791_,5787.97
_01420_,5786.045
_01230_,5785.17
_02854_,5780.395
_01136_,5772.68
_01164_,5767.32
_03181_,5766.47
_02973_,5749.89
_01178_,5742.89
_02383_,5728.87
_03503_,5700.42
_01293_,5689.25
_03523_,5684.89
_02404_,5658.095
_01208_,5643.24
_03332_,5635.74
_02412_,5603.315
_03161_,5595.68
_01561_,5586.04
_03119_,5582.96
_02602_,5553.9
_02415_,5547.62
_01941_,5547.24
_02589_,5516.82
_01150_,5514.19
_02832_,5511.41
_02387_,5493.3
_02377_,5445.86
_01326_,5445.37
_03973_,5444.26
_01185_,5439.21
_04305_,5437.12
_01804_,5413.45
_02393_,5411.87
_01552_,5398.32
_01256_,5396.93
_03163_,5392.22
_01151_,5369.86
_03179_,5358.58
_03759_,5358.28
_04197_,5323.48
_03646_,5317.32
_01851_,5300.17
_00385_,5288.835
_00837_,5275.1
_03165_,5255.745
_04355_,5253.93
_02900_,5230.63
_02601_,5165.545
_03167_,5136.95
_03134_,5120.09
_03307_,5073.09
_02005_,5040.13
_02627_,5033.06
_00780_,4962.945
_02660_,4928.145
_01392_,4922.58
_02599_,4919.605
_02781_,4792.7
_02054_,4786.41
_03260_,4762.61
_02429_,4746.745
net1336,4739.77
_01792_,4730.24
_03458_,4722.54
_01155_,4718.115
_00589_,4682.235
net2022,4619.7
_03126_,4583.54
_03460_,4529.25
_03230_,4525.4
_00479_,4506.745
_00511_,4490.16
_01788_,4480.34
decoder.rf.ram\[16\]\[23\],4479.6
decoder.rf.ram\[5\]\[2\],4454.1
_00245_,4431.02
_00686_,4407.695
_02379_,4401.92
_01300_,4398.16
_00153_,4374.265
_01340_,4341.19
_00311_,4323.265
_02976_,4317.25
_02919_,4263.48
net1478,4235.84
decoder.rf.ram\[11\]\[3\],4235.405
net2044,4194.92
_04403_,4176.53
_03324_,4174.56
net1597,4159.935
_02539_,4150.96
_01787_,4082.12
_00484_,4040.24
_00459_,4035.875
net1,4034.83
net1719,4031.5
_00237_,4031.18
_03059_,4009.08
_00495_,4007.475
_00137_,4004.365
_01908_,3983.24
_00651_,3970.875
_00181_,3949.965
_01022_,3923.66
_02150_,3909.18
_02977_,3908.5
_01290_,3900.53
_04236_,3890.35
_00546_,3875.7
_03099_,3874.69
_00365_,3864.825
_01028_,3863.78
_03794_,3861.9
net1374,3860.99
_03225_,3851.66
_00307_,3841.14
_01104_,3828.695
_03394_,3826.26
_03062_,3822.5
_02075_,3814.69
net949,3810.9
net332,3810.83
net1545,3810.3
_03027_,3803.88
_02680_,3803.075
_00884_,3794.045
_00320_,3788.76
_02998_,3780.95
_03091_,3778.42
_02255_,3774.91
net1567,3766.535
_03212_,3765.08
_00066_,3747.685
_00625_,3733.185
_00401_,3732.72
_01352_,3731.38
_00040_,3730.035
_00963_,3727.04
net1629,3720.69
_00131_,3716.18
_03492_,3710.635
net1109,3702.44
_02742_,3697.5
net2018,3695.98
_00440_,3694.22
_02615_,3687.64
decoder.rf.ram\[13\]\[8\],3686.46
_00935_,3672.94
_00057_,3665.735
_01311_,3663.06
_03240_,3648.52
decoder.rf.ram\[27\]\[10\],3648.49
_00541_,3647.52
net1623,3647.12
decoder.rf.ram\[0\]\[3\],3645.175
_00400_,3636.955
_01119_,3636.08
net1907,3635.025
_02353_,3630.98
decoder.rf.ram\[15\]\[6\],3629.97
_00901_,3627.175
_00517_,3626.065
_03362_,3623.24
net1543,3617.88
_00648_,3612.965
decoder.rf.ram\[26\]\[30\],3610.66
decoder.rf.ram\[5\]\[4\],3608.66
_02307_,3606.54
net1854,3595.45
_03107_,3594.94
decoder.rf.ram\[15\]\[8\],3592.73
_04195_,3591.78
_04189_,3585.4
_04399_,3584.66
net1235,3580.88
_02722_,3579.25
_00416_,3579.105
_04299_,3574.365
_00101_,3574.18
_00720_,3572.81
_02662_,3570.84
_00977_,3567.03
decoder.rf.ram\[16\]\[14\],3566.82
_00698_,3559.24
_00197_,3559.02
decoder.rf.ram\[18\]\[24\],3557.92
decoder.rf.ram\[30\]\[28\],3554.66
net1544,3552.87
_00537_,3549.46
_00414_,3549.38
_03853_,3549.16
_01140_,3538.8
_02607_,3538.06
_00405_,3532.42
decoder.rf.ram\[2\]\[21\],3531.295
net512,3520.22
_01052_,3519.945
_02952_,3517.42
_03688_,3504.96
_02147_,3504.23
net1568,3502.34
_00498_,3500.14
_01016_,3500.14
_04282_,3498.5
net1095,3494.91
decoder.rf.ram\[18\]\[6\],3494.26
net2100,3492.41
_04428_,3492.305
net566,3486.08
decoder.rf.ram\[10\]\[18\],3485.26
_02967_,3483.98
net1824,3482.97
net1193,3480.74
_04329_,3479.33
_00607_,3477.64
_03939_,3476.63
_02939_,3475.79
_02573_,3474.82
decoder.rf.ram\[12\]\[29\],3473.38
decoder.rf.ram\[22\]\[17\],3467.605
_04443_,3466.82
net1100,3461.91
_02731_,3458.9
_00454_,3458.06
_00175_,3453.845
decoder.rf.ram\[27\]\[12\],3449.515
_04000_,3448.92
_00937_,3446.96
decoder.rf.ram\[29\]\[30\],3442.4
_02668_,3431.14
net1897,3430.795
decoder.rf.ram\[18\]\[13\],3430.71
decoder.rf.ram\[19\]\[0\],3429.815
net1729,3428.855
_03170_,3426.58
_00561_,3424.76
net1813,3424.58
_00497_,3423.56
_00220_,3420.065
decoder.rf.ram\[24\]\[16\],3414.8
decoder.rf.ram\[4\]\[14\],3413.695
decoder.rf.ram\[11\]\[28\],3409.36
_02080_,3407.22
decoder.rf.ram\[5\]\[26\],3400.14
