net,length_um
_2873_,7788.32
_2863_,7476.185
_2738_,7415.81
_3791_,7380.33
_1953_,7277.1
_2725_,7213.37
_3137_,7169.02
_2190_,7140.215
_1955_,7042.05
_2246_,7008.63
_1983_,6998.99
_1031_,6982
_3164_,6979.55
_1890_,6940.97
_3597_,6894.155
_2012_,6852.39
_1090_,6843.25
_1028_,6839.33
_1050_,6827.33
_1086_,6825.15
_1120_,6779.64
_1911_,6747.62
_1951_,6706.82
_1127_,6667.3
_2859_,6655.68
_2819_,6647.66
_3430_,6639.82
_1118_,6622.73
_1868_,6616
_1042_,6587.33
_1968_,6568.585
_2848_,6558.51
_1990_,6529.82
_1146_,6526.59
_1054_,6518.44
_3177_,6491.94
_2838_,6491.47
_2740_,6487.125
_1962_,6473.81
_1976_,6469.43
_2624_,6449.65
_1857_,6440.68
_1903_,6424.94
_1932_,6422.52
_2069_,6412.2
_3669_,6404.47
_2754_,6404.13
_1079_,6383.25
_3046_,6378.04
_2189_,6373.47
_1896_,6341.38
_2748_,6334.29
_3813_,6322.93
_1027_,6294.14
_1137_,6293.265
_2736_,6291.63
_2064_,6273.84
_3802_,6266.88
_1166_,6257.23
_2628_,6252.035
_1073_,6251.84
_1157_,6234.61
_1142_,6230.91
_1555_,6216.3
_1334_,6215.16
_1937_,6193.1
_2006_,6192.69
_3524_,6186.445
_1888_,6163.01
_2854_,6161.08
_3224_,6155.56
_3586_,6144.26
_3156_,6129.51
_2084_,6123.84
_1089_,6119.24
_1033_,6104.96
_2721_,6098.53
_3139_,6094.07
_3441_,6065.52
_1121_,6056.46
_1179_,6051.35
_2734_,6039.75
_3112_,6032.02
_3130_,6029.74
_1108_,6017.85
_1906_,6017.85
_3741_,6015.77
_3021_,6005.21
_2045_,6001.2
_1253_,5984.88
_2636_,5979.45
_3151_,5979.01
_2842_,5967.35
_1926_,5958.9
_3705_,5958.16
_3118_,5951.88
_2123_,5945.18
_1941_,5943.44
_2690_,5936.03
_2731_,5928.77
_2024_,5928.24
_1103_,5925.12
_2750_,5916.72
_3358_,5911.78
_3188_,5903.46
_3416_,5888.45
_3658_,5863.93
_2962_,5850.09
_2844_,5849.18
_1954_,5828.9
_1856_,5815.31
_1058_,5813.22
_1185_,5808.38
_2999_,5797.57
_1337_,5793.21
_1838_,5792.01
_2710_,5791.49
_3322_,5791.15
_2857_,5782.32
_1083_,5770.43
_1088_,5759.17
_2713_,5754.41
_1886_,5752.73
_3683_,5750.04
_1905_,5730.675
_2093_,5729.435
_2711_,5723.86
_1929_,5722.62
_1841_,5721.51
_3502_,5719.74
_1155_,5717.61
_1880_,5699.35
_2696_,5697.53
_3694_,5696.67
